sheet,file,bbox,width,height,component_area
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_01.png,"[24, 13, 732, 412]",708,399,257595
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_02.png,"[757, 23, 1415, 402]",658,379,232439
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_03.png,"[420, 877, 1032, 1054]",612,177,95649
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_04.png,"[25, 624, 366, 891]",341,267,50903
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_05.png,"[904, 711, 1377, 849]",473,138,49831
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_06.png,"[474, 402, 625, 780]",151,378,30300
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_07.png,"[455, 777, 871, 888]",416,111,27299
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_08.png,"[32, 440, 235, 516]",203,76,10061
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_09.png,"[967, 461, 1082, 573]",115,112,7030
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_10.png,"[757, 459, 872, 571]",115,112,7000
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_11.png,"[1293, 460, 1406, 573]",113,113,6991
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_12.png,"[1077, 459, 1193, 573]",116,114,6981
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_13.png,"[1185, 461, 1299, 573]",114,112,6944
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_14.png,"[653, 459, 765, 573]",112,114,6879
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_15.png,"[865, 460, 977, 571]",112,111,6859
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_16.png,"[308, 439, 401, 530]",93,91,3057
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_17.png,"[690, 618, 754, 682]",64,64,2022
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_18.png,"[1212, 620, 1264, 679]",52,59,1212
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_19.png,"[845, 623, 901, 678]",56,55,1200
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_20.png,"[1034, 642, 1075, 675]",41,33,364
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_21.png,"[26, 759, 67, 798]",41,39,240
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_22.png,"[1039, 623, 1070, 656]",31,33,212
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_23.png,"[46, 598, 79, 633]",33,35,178
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_24.png,"[311, 643, 339, 676]",28,33,125
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_25.png,"[1057, 642, 1086, 673]",29,31,121
sheet1_tournament,auto_extracted/sheet1_tournament/sheet1_tournament_asset_26.png,"[1024, 642, 1053, 673]",29,31,121
sheet2_bilateral,auto_extracted/sheet2_bilateral/sheet2_bilateral_asset_01.png,"[28, 21, 732, 330]",704,309,200153
sheet2_bilateral,auto_extracted/sheet2_bilateral/sheet2_bilateral_asset_02.png,"[747, 23, 1415, 328]",668,305,187923
sheet2_bilateral,auto_extracted/sheet2_bilateral/sheet2_bilateral_asset_03.png,"[20, 530, 714, 759]",694,229,142624
sheet2_bilateral,auto_extracted/sheet2_bilateral/sheet2_bilateral_asset_04.png,"[50, 779, 1398, 890]",1348,111,126252
sheet2_bilateral,auto_extracted/sheet2_bilateral/sheet2_bilateral_asset_05.png,"[751, 539, 1407, 764]",656,225,126080
sheet2_bilateral,auto_extracted/sheet2_bilateral/sheet2_bilateral_asset_06.png,"[853, 918, 1335, 1049]",482,131,52745
sheet2_bilateral,auto_extracted/sheet2_bilateral/sheet2_bilateral_asset_07.png,"[520, 338, 717, 539]",197,201,25640
sheet2_bilateral,auto_extracted/sheet2_bilateral/sheet2_bilateral_asset_08.png,"[1034, 339, 1232, 538]",198,199,25394
sheet2_bilateral,auto_extracted/sheet2_bilateral/sheet2_bilateral_asset_09.png,"[48, 357, 295, 436]",247,79,13750
sheet2_bilateral,auto_extracted/sheet2_bilateral/sheet2_bilateral_asset_10.png,"[1258, 351, 1395, 513]",137,162,13560
sheet2_bilateral,auto_extracted/sheet2_bilateral/sheet2_bilateral_asset_11.png,"[724, 396, 1021, 480]",297,84,10106
sheet2_bilateral,auto_extracted/sheet2_bilateral/sheet2_bilateral_asset_12.png,"[365, 366, 483, 483]",118,117,5536
sheet2_bilateral,auto_extracted/sheet2_bilateral/sheet2_bilateral_asset_13.png,"[343, 940, 435, 1032]",92,92,4529
sheet2_bilateral,auto_extracted/sheet2_bilateral/sheet2_bilateral_asset_14.png,"[128, 940, 211, 1026]",83,86,4260
sheet2_bilateral,auto_extracted/sheet2_bilateral/sheet2_bilateral_asset_15.png,"[548, 947, 646, 1028]",98,81,4177
sheet3_league,auto_extracted/sheet3_league/sheet3_league_asset_01.png,"[33, 17, 950, 382]",917,365,312696
sheet3_league,auto_extracted/sheet3_league/sheet3_league_asset_02.png,"[33, 393, 950, 700]",917,307,261842
sheet3_league,auto_extracted/sheet3_league/sheet3_league_asset_03.png,"[34, 956, 1414, 1059]",1380,103,118199
sheet3_league,auto_extracted/sheet3_league/sheet3_league_asset_04.png,"[966, 18, 1419, 282]",453,264,107432
sheet3_league,auto_extracted/sheet3_league/sheet3_league_asset_05.png,"[1024, 381, 1281, 727]",257,346,37974
sheet3_league,auto_extracted/sheet3_league/sheet3_league_asset_06.png,"[932, 736, 1375, 822]",443,86,29093
sheet3_league,auto_extracted/sheet3_league/sheet3_league_asset_07.png,"[1028, 846, 1406, 944]",378,98,28520
sheet3_league,auto_extracted/sheet3_league/sheet3_league_asset_08.png,"[978, 302, 1178, 377]",200,75,9985
sheet3_league,auto_extracted/sheet3_league/sheet3_league_asset_09.png,"[36, 715, 149, 827]",113,112,7356
sheet3_league,auto_extracted/sheet3_league/sheet3_league_asset_10.png,"[807, 715, 919, 827]",112,112,7251
sheet3_league,auto_extracted/sheet3_league/sheet3_league_asset_11.png,"[294, 716, 406, 827]",112,111,7242
sheet3_league,auto_extracted/sheet3_league/sheet3_league_asset_12.png,"[679, 716, 791, 827]",112,111,7239
sheet3_league,auto_extracted/sheet3_league/sheet3_league_asset_13.png,"[166, 715, 278, 827]",112,112,7223
sheet3_league,auto_extracted/sheet3_league/sheet3_league_asset_14.png,"[551, 715, 663, 827]",112,112,7215
sheet3_league,auto_extracted/sheet3_league/sheet3_league_asset_15.png,"[422, 715, 534, 827]",112,112,7212
sheet3_league,auto_extracted/sheet3_league/sheet3_league_asset_16.png,"[248, 850, 340, 940]",92,90,4405
sheet3_league,auto_extracted/sheet3_league/sheet3_league_asset_17.png,"[64, 851, 147, 937]",83,86,4093
sheet3_league,auto_extracted/sheet3_league/sheet3_league_asset_18.png,"[541, 854, 639, 934]",98,80,3516
sheet3_league,auto_extracted/sheet3_league/sheet3_league_asset_19.png,"[816, 851, 892, 937]",76,86,3159
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_01.png,"[995, 733, 1412, 1040]",417,307,114929
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_02.png,"[40, 764, 448, 1040]",408,276,101360
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_03.png,"[37, 321, 405, 754]",368,433,68002
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_04.png,"[945, 46, 1405, 191]",460,145,55370
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_05.png,"[38, 184, 498, 307]",460,123,35827
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_06.png,"[979, 221, 1357, 331]",378,110,32500
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_07.png,"[827, 656, 976, 968]",149,312,30305
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_08.png,"[491, 856, 792, 997]",301,141,23225
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_09.png,"[726, 151, 917, 338]",191,187,23040
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_10.png,"[538, 151, 729, 337]",191,186,22974
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_11.png,"[439, 634, 827, 750]",388,116,20908
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_12.png,"[433, 345, 575, 509]",142,164,14205
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_13.png,"[450, 54, 666, 136]",216,82,12007
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_14.png,"[209, 53, 425, 134]",216,81,11586
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_15.png,"[693, 59, 900, 131]",207,72,10075
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_16.png,"[744, 984, 955, 1063]",211,79,9594
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_17.png,"[471, 811, 787, 883]",316,72,6731
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_18.png,"[980, 381, 1140, 513]",160,132,4518
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_19.png,"[1256, 380, 1412, 512]",156,132,4455
